"Server IP","DB User Name","App User Name","Total access"
"10.38.11.73","","AMDOCS::PU=SAPSR3","1578548"
"10.38.11.73","","DDIC","1291491"
"10.38.11.73","","BASIS::PU=SAPSR3","782614"
"10.38.11.73","","BASIS","725226"
"10.38.11.73","","SAPSYS::PU=SAPSR3","298753"
"10.38.11.73","","CL-CREO::PU=SAPSR3","170222"
"10.38.11.73","","WF-BATCH::PU=SAPSR3","146962"
"10.38.11.73","","SAPSYS","139473"
"10.38.11.73","","40MCORDOVAM::PU=SAPSR3","134545"
"10.38.11.73","","AMDOCS","126418"
"10.38.11.73","?","WF-BATCH::PU=SAPSR3","101467"
"10.38.11.73","","40IVERAC::PU=SAPSR3","100306"
"10.38.11.73","","AMDOC::PU=SAPSR3","93680"
"10.38.11.73","?","SAPSYS::PU=SAPSR3","88314"
"10.38.11.73","","WF-BATCH","86725"
"10.38.11.73","","40IVERAC","84807"
"10.38.11.73","","DDIC::PU=SAPSR3","84376"
"10.38.11.73","","NPPAGO::PU=SAPSR3","84143"
"10.38.11.73","?","BASIS::PU=SAPSR3","80883"
"10.38.11.73","","30CGARABITOA::PU=SAPSR3","70073"
"10.38.11.73","","SAPSY::PU=SAPSR3","62273"
"10.38.11.73","","40DARRIOLAC::PU=SAPSR3","55593"
"10.38.11.73","","DBSL: con=0, no client_id::PU=SAPSR3","55341"
"10.38.11.73","","40NVIRAA::PU=SAPSR3","48167"
"10.38.11.73","","30MGUTIERREU::PU=SAPSR3","37601"
"10.38.11.73","","CL-CREO","35069"
"10.38.11.73","","30CHERMOSILL::PU=SAPSR3","35052"
"10.38.11.73","","WF-BATC::PU=SAPSR3","30181"
"10.38.11.73","?","30CHERMOSILL::PU=SAPSR3","28116"
"10.38.11.73","","30RZUNIGAP::PU=SAPSR3","27774"
"10.38.11.73","INMOTION","","26987"
"10.38.11.73","","40JYANEZZ::PU=SAPSR3","26527"
"10.38.11.73","","30CHERMOSIL::PU=SAPSR3","22654"
"10.38.11.73","","30SRANILAOG::PU=SAPSR3","22327"
"10.38.11.73","","40BMENAB::PU=SAPSR3","21621"
"10.38.11.73","","30EOJEDAV::PU=SAPSR3","20732"
"10.38.11.73","","40CLASALLEH::PU=SAPSR3","19066"
"10.38.11.73","","40CARAYAMAR::PU=SAPSR3","17896"
"10.38.11.73","","DBSL: con=0, no client_id","16162"
"10.38.11.73","?","AMDOCS::PU=SAPSR3","15832"
"10.38.11.73","","40LGUEVARAP::PU=SAPSR3","15586"
"10.38.11.73","","DBSL: con=0, no client_i::PU=SAPSR3","15415"
"10.38.11.73","","30JQUINTEROF::PU=SAPSR3","14336"
"10.38.11.73","","30CARAVENAC::PU=SAPSR3","13810"
"10.38.11.73","","BASI::PU=SAPSR3","13561"
"10.38.11.73","","30CGUEVARA::PU=SAPSR3","13161"
"10.38.11.73","","30PSCHWARZET::PU=SAPSR3","12431"
"10.38.11.73","","40MCORDOVA::PU=SAPSR3","11539"
"10.38.11.73","","20ASOLISF::PU=SAPSR3","11158"
"10.38.11.73","","30EZAPATAM::PU=SAPSR3","10554"
"10.38.11.73","","30MGUTIERREU","10494"
"10.38.11.73","","40NVIRA::PU=SAPSR3","10216"
"10.38.11.73","","40DARRIOLAC","9642"
"10.38.11.73","","NPPAG::PU=SAPSR3","9449"
"10.38.11.73","?","40NVIRAA::PU=SAPSR3","9109"
"10.38.11.73","","30DORDENESO::PU=SAPSR3","8974"
"10.38.11.73","","30AVERGARAC::PU=SAPSR3","8876"
"10.38.11.73","","30LPALMAR::PU=SAPSR3","8639"
"10.38.11.73","","10GMANDIOLAC::PU=SAPSR3","8452"
"10.38.11.73","","30JNILOR::PU=SAPSR3","8218"
